6998	가족공원	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
1681	가족법	6 	2 	0 	0 	6 	0 	0 	0 	0 	0 	0 
6999	가주동	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
1449	가즈코	7 	1 	0 	0 	7 	0 	0 	0 	0 	0 	0 
4345	가즈히사	2 	1 	0 	0 	0 	0 	0 	2 	0 	0 	0 
7000	가지않는길	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
7001	가키자와고지	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
1996	가타카	5 	1 	0 	0 	0 	0 	0 	5 	0 	0 	0 
7002	가토그룹	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
7003	가톨릭대	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
3144	가트	3 	2 	0 	0 	0 	0 	3 	0 	0 	0 	0 
1997	가평	5 	4 	0 	0 	1 	1 	0 	2 	0 	0 	1 
7004	가평경찰서	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
4346	가평군	2 	2 	0 	1 	1 	0 	0 	0 	0 	0 	0 
4347	가흥	2 	1 	0 	0 	0 	0 	2 	0 	0 	0 	0 
7005	각저총	1 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 
7006	간과감자	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
2472	간난이	4 	1 	0 	0 	0 	4 	0 	0 	0 	0 	0 
1998	간도	5 	2 	0 	0 	0 	0 	1 	0 	0 	0 	4 
4348	간디	2 	2 	0 	0 	1 	0 	0 	1 	0 	0 	0 
7007	간서삼동	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
7008	간성	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
7009	간성면	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
4349	간왕	2 	1 	0 	0 	2 	0 	0 	0 	0 	0 	0 
4350	간의대	2 	1 	0 	2 	0 	0 	0 	0 	0 	0 	0 
7010	간호협회	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
3145	갈리	3 	1 	0 	0 	0 	0 	3 	0 	0 	0 	0 
7011	갈리아	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
4351	갈릴레오	2 	2 	0 	0 	1 	0 	0 	1 	0 	0 	0 
4352	갈릴레오갈릴레이	2 	1 	0 	0 	2 	0 	0 	0 	0 	0 	0 
258	갈릴레이	35 	1 	0 	0 	35 	0 	0 	0 	0 	0 	0 
7012	갈릴레이의생애	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
7013	갈릴리여행사	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
7014	갈마치고개	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
7015	갈말	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
